ric,position_type,knowledge_date,effective_date,account,direction,qty,purpose
IBM.OQ,TD,2016-11-19,2016-11-22,ICP1287,Debit,900,Outright
FB.L,SD,2017-04-07,2017-04-07,ICP1367,Debit,1000,Outright
GOOGL.OQ,TD,2016-05-03,2016-05-06,ICP9293,Debit,300,Outright
FB.L,SD,2016-05-11,2016-05-11,ICP0113,Debit,900,Outright
IBM.N,TD,2017-06-28,2017-07-01,ICP0239,Credit,1700,Outright
APPL.L,SD,2016-03-13,2016-03-13,ICP0525,Debit,100,Outright
FB.N,TD,2017-03-12,2017-03-15,ICP5915,Debit,1100,Outright
GOOGL.L,SD,2016-03-27,2016-03-27,ICP8364,Debit,400,Outright
DIS.OQ,TD,2016-02-10,2016-02-13,ICP3439,Credit,1200,Outright
TSLA.L,SD,2017-12-16,2017-12-16,ICP4538,Credit,600,Outright
AMZN.L,TD,2017-02-23,2017-02-26,ICP1526,Debit,200,Outright
APPL.OQ,SD,2016-01-04,2016-01-04,ICP3449,Debit,400,Outright
GOOGL.L,TD,2016-06-07,2016-06-10,ICP9237,Debit,700,Outright
DIS.N,TD,2017-11-17,2017-11-20,ICP4967,Debit,400,Outright
DIS.N,TD,2016-08-03,2016-08-06,ICP1955,Credit,100,Outright
APPL.N,TD,2016-09-15,2016-09-18,ICP8389,Debit,1300,Outright
IBM.N,SD,2017-04-25,2017-04-25,ICP0508,Debit,1000,Outright
GOOGL.N,SD,2016-02-10,2016-02-10,ICP7827,Credit,100,Outright
IBM.N,TD,2017-04-09,2017-04-12,ICP1408,Debit,1000,Outright
APPL.L,TD,2016-03-11,2016-03-14,ICP9126,Credit,1600,Outright
FB.N,SD,2016-11-22,2016-11-22,ICP9330,Debit,1500,Outright
GOOGL.N,SD,2016-08-06,2016-08-06,ICP0814,Debit,800,Outright
FB.L,SD,2017-02-13,2017-02-13,ICP5927,Debit,600,Outright
TSLA.OQ,TD,2017-12-16,2017-12-19,ICP7535,Debit,1100,Outright
GOOGL.N,SD,2016-12-20,2016-12-20,ICP9077,Credit,1100,Outright
FB.L,TD,2017-10-04,2017-10-07,ICP0262,Debit,1700,Outright
FB.N,SD,2016-05-28,2016-05-28,ICP5869,Debit,100,Outright
AMZN.L,TD,2016-02-10,2016-02-13,ICP2074,Credit,1900,Outright
IBM.L,TD,2016-11-14,2016-11-17,ICP9590,Debit,2000,Outright
TSLA.N,TD,2016-12-11,2016-12-14,ICP9881,Credit,1300,Outright
APPL.N,SD,2016-11-18,2016-11-18,ICP6167,Debit,1700,Outright
IBM.N,SD,2017-09-13,2017-09-13,ICP1758,Debit,100,Outright
AMZN.L,TD,2016-02-17,2016-02-20,ICP3430,Credit,1100,Outright
AMZN.L,SD,2017-10-23,2017-10-23,ICP8868,Debit,500,Outright
F.N,TD,2016-08-01,2016-08-04,ICP8883,Debit,1700,Outright
F.L,SD,2016-04-22,2016-04-22,ICP6802,Debit,100,Outright
AMZN.OQ,SD,2016-10-07,2016-10-07,ICP8550,Debit,1300,Outright
DIS.OQ,SD,2017-05-07,2017-05-07,ICP1579,Debit,1100,Outright
AMZN.N,SD,2016-05-17,2016-05-17,ICP1754,Credit,1000,Outright
APPL.OQ,TD,2017-09-20,2017-09-23,ICP2347,Credit,700,Outright
DIS.OQ,SD,2016-06-11,2016-06-11,ICP1446,Credit,300,Outright
IBM.L,TD,2016-07-08,2016-07-11,ICP0956,Debit,700,Outright
DIS.L,TD,2017-07-23,2017-07-26,ICP9025,Debit,300,Outright
IBM.N,SD,2016-05-23,2016-05-23,ICP5787,Credit,500,Outright
TSLA.L,TD,2016-07-22,2016-07-25,ICP5187,Credit,1300,Outright
GOOGL.N,SD,2016-11-23,2016-11-23,ICP7576,Credit,400,Outright
F.L,TD,2017-05-26,2017-05-29,ICP4816,Debit,300,Outright
F.L,SD,2016-07-24,2016-07-24,ICP1990,Debit,1000,Outright
F.N,SD,2016-11-08,2016-11-08,ICP7143,Debit,1100,Outright
DIS.L,TD,2017-05-23,2017-05-26,ICP4093,Debit,1200,Outright
F.L,TD,2017-04-19,2017-04-22,ICP9847,Debit,400,Outright
IBM.OQ,SD,2016-02-05,2016-02-05,ICP2861,Debit,2000,Outright
APPL.OQ,TD,2016-09-06,2016-09-09,ICP7932,Debit,900,Outright
TSLA.OQ,TD,2017-05-06,2017-05-09,ICP9956,Credit,500,Outright
IBM.N,TD,2017-03-13,2017-03-16,ICP8708,Debit,400,Outright
AMZN.OQ,SD,2017-09-27,2017-09-27,ICP7422,Credit,300,Outright
APPL.L,TD,2017-11-17,2017-11-20,ICP3694,Debit,1100,Outright
IBM.N,SD,2017-07-28,2017-07-28,ICP3403,Debit,400,Outright
GOOGL.OQ,TD,2016-06-01,2016-06-04,ICP7173,Debit,1500,Outright
DIS.OQ,SD,2016-01-20,2016-01-20,ICP8945,Debit,900,Outright
APPL.N,SD,2016-09-20,2016-09-20,ICP5629,Credit,600,Outright
DIS.L,SD,2017-12-10,2017-12-10,ICP3120,Credit,1600,Outright
APPL.L,SD,2016-01-26,2016-01-26,ICP8639,Debit,1600,Outright
F.L,TD,2016-03-07,2016-03-10,ICP9374,Credit,1800,Outright
APPL.L,SD,2017-09-11,2017-09-11,ICP6617,Credit,600,Outright
FB.N,TD,2017-10-16,2017-10-19,ICP9604,Credit,1100,Outright
APPL.L,SD,2017-10-10,2017-10-10,ICP2175,Credit,1200,Outright
IBM.L,TD,2017-09-12,2017-09-15,ICP4111,Debit,1400,Outright
FB.L,SD,2016-10-13,2016-10-13,ICP6367,Credit,900,Outright
APPL.OQ,SD,2017-03-15,2017-03-15,ICP4755,Debit,200,Outright
IBM.OQ,SD,2017-08-19,2017-08-19,ICP3609,Credit,1200,Outright
FB.N,SD,2016-09-13,2016-09-13,ICP7878,Debit,500,Outright
APPL.N,TD,2017-11-23,2017-11-26,ICP6637,Debit,700,Outright
GOOGL.OQ,SD,2016-02-28,2016-02-28,ICP4129,Debit,1900,Outright
TSLA.N,SD,2016-10-03,2016-10-03,ICP0719,Credit,400,Outright
AMZN.N,SD,2017-10-09,2017-10-09,ICP1980,Credit,200,Outright
F.L,TD,2016-02-28,2016-03-02,ICP8202,Debit,1700,Outright
IBM.L,SD,2017-05-17,2017-05-17,ICP9331,Debit,1400,Outright
F.OQ,SD,2017-01-26,2017-01-26,ICP4185,Credit,400,Outright
DIS.N,SD,2016-03-14,2016-03-14,ICP8013,Debit,1900,Outright
APPL.L,TD,2017-04-01,2017-04-04,ICP8207,Debit,1900,Outright
IBM.OQ,TD,2016-04-20,2016-04-23,ICP2891,Debit,200,Outright
F.L,SD,2017-02-25,2017-02-25,ICP3802,Credit,500,Outright
IBM.N,SD,2017-01-14,2017-01-14,ICP9106,Debit,1900,Outright
IBM.L,TD,2017-12-28,2017-12-31,ICP1892,Credit,1800,Outright
DIS.N,TD,2016-06-10,2016-06-13,ICP8238,Credit,1300,Outright
IBM.N,TD,2016-10-19,2016-10-22,ICP5566,Debit,1800,Outright
IBM.N,TD,2016-12-26,2016-12-29,ICP7215,Credit,1000,Outright
APPL.L,SD,2016-06-14,2016-06-14,ICP9090,Credit,1400,Outright
F.L,TD,2017-09-16,2017-09-19,ICP0225,Credit,400,Outright
GOOGL.OQ,TD,2017-03-04,2017-03-07,ICP3719,Debit,600,Outright
AMZN.OQ,SD,2017-10-06,2017-10-06,ICP6504,Debit,700,Outright
IBM.L,TD,2017-06-04,2017-06-07,ICP9220,Credit,1200,Outright
APPL.N,SD,2016-01-27,2016-01-27,ICP7357,Credit,1900,Outright
F.OQ,SD,2016-05-15,2016-05-15,ICP2337,Credit,400,Outright
FB.N,TD,2017-07-24,2017-07-27,ICP7133,Debit,200,Outright
