ticker,price,curr
IBM,9849.78,CAD
GOOGL,8548.82,USD
TSLA,7165.66,CAD
APPL,4759.08,EUR
DIS,8983.59,CAD
F,6257.74,GBP
TSLA,5074.45,EUR
FB,5967.4,USD
DIS,2772.79,EUR
AMZN,1897.97,GBP
APPL,4550.72,GBP
APPL,7781.77,USD
APPL,3788.89,USD
AMZN,3377.43,USD
TSLA,8415.37,CAD
AMZN,492.96,USD
AMZN,8020.32,CAD
F,1629.61,EUR
GOOGL,2578.71,GBP
DIS,1649.16,CAD
DIS,8710.65,GBP
F,4693.12,USD
FB,4209.53,EUR
IBM,2028.54,GBP
TSLA,6369.18,USD
IBM,5107.48,EUR
TSLA,6661.37,GBP
IBM,488.31,CAD
APPL,8685.94,GBP
TSLA,9035.79,EUR
APPL,3609.68,CAD
GOOGL,5422.03,USD
IBM,8968.86,GBP
GOOGL,2783.23,GBP
AMZN,7567.62,EUR
AMZN,1629.8,CAD
DIS,6719.94,GBP
F,520.81,USD
F,4786.13,CAD
AMZN,2368.69,EUR
DIS,2224.71,EUR
DIS,5517.97,GBP
APPL,7287.12,EUR
IBM,4555.84,CAD
IBM,7953.4,EUR
FB,8716.49,CAD
F,7932.88,GBP
FB,8485.73,EUR
GOOGL,9024.87,CAD
F,5115.91,USD
FB,5312.16,GBP
DIS,9389.35,CAD
APPL,4351.01,GBP
F,1658.75,USD
DIS,5373.8,USD
IBM,1650.38,EUR
GOOGL,752.11,CAD
DIS,5237.08,CAD
IBM,1440.05,EUR
GOOGL,447.18,CAD
F,1959.26,EUR
APPL,1333.22,EUR
IBM,9341.93,CAD
GOOGL,6018.76,USD
FB,3158.62,USD
APPL,310.4,GBP
FB,1478.5,CAD
DIS,57.61,GBP
IBM,6936.97,EUR
APPL,1640.92,GBP
F,1172.32,CAD
AMZN,5762.38,GBP
FB,8181.6,USD
DIS,2320.85,GBP
F,5502.95,GBP
GOOGL,2970.49,CAD
APPL,8382.69,CAD
DIS,6512.25,CAD
IBM,1025.16,GBP
GOOGL,7419.04,EUR
GOOGL,422.37,CAD
APPL,4956.57,USD
GOOGL,3764.24,EUR
FB,7158.63,USD
FB,4295.43,GBP
GOOGL,2714.79,EUR
APPL,2158.13,GBP
TSLA,9718.05,CAD
TSLA,9319.16,CAD
F,6059.39,USD
IBM,8749.32,EUR
FB,8602.04,EUR
DIS,2607.92,EUR
TSLA,9797.13,EUR
AMZN,7277.91,GBP
DIS,9707.7,GBP
FB,4076.22,USD
APPL,7056.53,CAD
TSLA,1790.36,EUR
AMZN,2005.54,CAD
IBM,1233.33,CAD
TSLA,1664.98,USD
FB,1875.68,USD
DIS,8129.24,CAD
FB,2559.91,USD
FB,5868.63,GBP
AMZN,7582.59,EUR
IBM,221.77,GBP
AMZN,6242.27,GBP
FB,7276.23,GBP
FB,983.82,EUR
DIS,121.2,USD
DIS,1705.4,GBP
AMZN,2900.16,CAD
F,6576.1,GBP
IBM,3422.44,USD
DIS,9233.58,CAD
DIS,1926.94,USD
APPL,4228.79,EUR
APPL,7162.74,EUR
TSLA,4801.07,GBP
GOOGL,7684.22,EUR
AMZN,5393.08,EUR
TSLA,6305.8,CAD
F,2206.04,EUR
F,5308.9,USD
AMZN,3232.87,EUR
FB,6438.41,GBP
FB,2739.11,GBP
IBM,5333.3,USD
TSLA,1995.96,USD
DIS,8273.14,GBP
AMZN,8335.85,CAD
F,5796.0,USD
TSLA,9388.5,EUR
AMZN,1711.34,GBP
APPL,1895.38,EUR
TSLA,8037.27,EUR
F,5926.78,USD
F,3759.75,GBP
F,1110.65,CAD
APPL,7137.46,GBP
DIS,528.99,EUR
FB,9392.98,CAD
AMZN,7965.15,CAD
APPL,1432.6,GBP
GOOGL,2782.53,CAD
AMZN,8615.93,EUR
AMZN,1001.55,GBP
APPL,8286.62,EUR
FB,7357.28,EUR
GOOGL,6483.67,USD
FB,2423.57,USD
F,9993.8,GBP
FB,4077.04,USD
AMZN,7068.46,CAD
AMZN,3357.75,GBP
IBM,7394.84,EUR
IBM,749.45,CAD
DIS,8415.51,GBP
FB,2370.28,USD
IBM,2423.36,CAD
F,2693.76,EUR
TSLA,7533.38,GBP
DIS,2389.13,USD
GOOGL,62.71,GBP
DIS,3000.09,CAD
FB,8935.65,EUR
IBM,5732.61,USD
GOOGL,6063.56,EUR
FB,4728.47,CAD
APPL,9931.87,USD
IBM,3560.04,USD
FB,5573.63,USD
APPL,7549.57,EUR
GOOGL,557.16,CAD
TSLA,6865.77,USD
GOOGL,8484.8,EUR
TSLA,5005.3,CAD
APPL,9468.38,GBP
AMZN,6195.57,GBP
F,611.45,CAD
TSLA,7896.01,USD
AMZN,4965.75,USD
TSLA,4794.1,USD
F,7356.3,USD
F,6162.09,GBP
APPL,5949.83,CAD
AMZN,3189.69,EUR
AMZN,9135.03,CAD
APPL,2787.52,GBP
IBM,9640.55,GBP
DIS,8273.75,GBP
IBM,964.55,USD
AMZN,5217.7,EUR
IBM,1999.03,GBP
TSLA,780.82,GBP
APPL,53.66,GBP
AMZN,1917.56,GBP
DIS,6408.64,EUR
IBM,3040.3,GBP
AMZN,2686.69,EUR
F,8665.51,GBP
F,5809.81,USD
IBM,426.96,CAD
DIS,793.67,GBP
F,215.48,USD
AMZN,3994.06,USD
F,1104.21,USD
DIS,4393.29,USD
GOOGL,4739.01,EUR
F,5137.23,EUR
F,5964.03,GBP
APPL,4085.44,GBP
FB,189.69,EUR
APPL,6556.41,CAD
TSLA,9487.11,CAD
FB,896.76,EUR
FB,4895.62,CAD
AMZN,5603.48,USD
F,179.89,CAD
DIS,7794.53,CAD
F,7584.71,USD
F,3273.77,EUR
AMZN,211.52,EUR
APPL,3023.54,USD
F,5588.27,EUR
IBM,1659.21,EUR
APPL,2554.27,CAD
AMZN,931.23,USD
TSLA,4277.77,EUR
AMZN,5777.06,EUR
APPL,8813.03,EUR
IBM,3684.64,USD
F,777.45,EUR
AMZN,4298.99,CAD
APPL,4584.53,GBP
AMZN,2010.63,EUR
APPL,8667.06,EUR
F,8497.19,USD
TSLA,8056.79,CAD
DIS,2126.61,CAD
AMZN,9843.48,EUR
FB,5145.43,CAD
FB,3252.5,USD
FB,8195.48,EUR
DIS,840.32,USD
FB,7672.59,CAD
F,4209.67,EUR
F,1490.66,EUR
TSLA,653.69,USD
GOOGL,178.06,GBP
IBM,7038.61,CAD
F,8725.81,GBP
FB,5645.16,EUR
F,3209.38,EUR
DIS,7521.61,USD
FB,3349.81,GBP
AMZN,4008.44,EUR
FB,3975.12,CAD
TSLA,8523.29,GBP
TSLA,8533.26,USD
F,255.84,GBP
IBM,6926.19,CAD
FB,1984.09,CAD
DIS,4054.58,USD
GOOGL,6601.87,GBP
FB,1083.91,CAD
AMZN,5686.42,USD
TSLA,9294.62,EUR
FB,7513.36,GBP
GOOGL,7142.94,CAD
TSLA,8471.58,USD
AMZN,8215.28,GBP
TSLA,8196.16,GBP
FB,2692.2,CAD
FB,7551.88,GBP
FB,3352.9,GBP
GOOGL,4634.4,GBP
DIS,7976.54,EUR
TSLA,366.46,CAD
GOOGL,1862.27,USD
FB,4977.29,EUR
FB,5771.53,USD
F,7698.23,GBP
APPL,8739.26,CAD
GOOGL,4730.2,USD
AMZN,8154.35,USD
GOOGL,5422.08,EUR
FB,8014.37,EUR
FB,8437.66,USD
TSLA,885.9,EUR
IBM,3965.95,EUR
TSLA,4443.83,USD
GOOGL,7907.42,GBP
DIS,5886.78,EUR
APPL,4288.49,CAD
APPL,5456.2,USD
FB,7088.79,CAD
F,7093.47,CAD
DIS,5189.2,GBP
GOOGL,5555.05,GBP
GOOGL,8558.55,CAD
TSLA,6399.81,USD
FB,8150.15,CAD
F,7804.23,USD
AMZN,9218.92,CAD
IBM,6442.79,GBP
IBM,1145.69,GBP
F,5708.64,CAD
AMZN,8374.95,USD
DIS,7777.0,USD
AMZN,21.88,GBP
AMZN,3581.85,EUR
AMZN,7149.05,USD
IBM,2217.21,EUR
GOOGL,9323.41,USD
IBM,6420.44,CAD
IBM,5600.93,EUR
AMZN,1443.36,GBP
FB,3007.93,CAD
F,4510.61,GBP
IBM,3318.56,CAD
DIS,5262.04,USD
F,3339.32,USD
DIS,3447.09,USD
TSLA,6190.97,CAD
TSLA,8428.35,EUR
AMZN,1327.18,GBP
GOOGL,191.62,USD
AMZN,9789.29,CAD
F,4054.12,GBP
AMZN,9679.43,USD
FB,4845.91,GBP
APPL,8861.82,USD
FB,3568.47,EUR
FB,2408.05,GBP
TSLA,4956.31,USD
FB,8848.72,USD
F,9233.66,CAD
F,2045.65,CAD
AMZN,232.05,GBP
APPL,9032.09,EUR
APPL,4783.3,USD
AMZN,8353.16,USD
F,3777.55,CAD
F,5293.43,CAD
APPL,6132.56,USD
FB,5036.37,EUR
AMZN,929.32,GBP
F,5362.34,EUR
DIS,6287.07,CAD
FB,3228.64,GBP
DIS,3444.78,EUR
FB,4583.41,EUR
FB,8746.56,CAD
DIS,5993.85,GBP
DIS,5095.06,GBP
F,3829.8,GBP
AMZN,6730.27,EUR
APPL,2494.0,GBP
FB,8987.61,GBP
FB,4076.54,EUR
FB,8896.58,USD
DIS,4804.93,USD
F,6396.09,GBP
DIS,8679.35,USD
IBM,199.23,EUR
DIS,644.96,CAD
F,9023.88,EUR
IBM,6087.99,GBP
DIS,9802.5,USD
AMZN,8601.66,USD
IBM,7238.63,CAD
TSLA,3360.95,GBP
TSLA,9324.52,CAD
DIS,2466.86,EUR
FB,4887.9,GBP
TSLA,7773.88,EUR
DIS,7762.63,USD
TSLA,70.19,USD
IBM,943.37,EUR
FB,5947.77,CAD
DIS,254.34,EUR
TSLA,5989.02,EUR
AMZN,4832.97,USD
AMZN,5132.09,CAD
APPL,7745.6,USD
GOOGL,8511.31,GBP
AMZN,1228.97,EUR
DIS,6863.49,GBP
GOOGL,6799.93,EUR
APPL,8864.48,USD
GOOGL,8969.48,USD
FB,1949.88,GBP
IBM,2141.37,GBP
APPL,3042.84,EUR
TSLA,1731.25,GBP
FB,5815.67,CAD
FB,7267.87,EUR
GOOGL,3105.06,CAD
TSLA,8260.48,CAD
FB,8464.64,GBP
APPL,4330.3,USD
AMZN,9839.75,GBP
F,5530.12,USD
APPL,2836.87,EUR
F,3177.68,USD
F,133.33,USD
TSLA,5974.2,EUR
F,6156.6,GBP
AMZN,46.52,CAD
FB,9067.19,GBP
AMZN,2165.44,USD
TSLA,1000.77,CAD
IBM,9149.35,CAD
AMZN,3279.24,EUR
DIS,9114.86,EUR
DIS,6867.71,USD
FB,9903.0,CAD
AMZN,5289.96,EUR
FB,2495.76,CAD
TSLA,7075.81,EUR
DIS,6445.44,EUR
F,5365.48,GBP
F,8726.51,CAD
DIS,7946.44,GBP
FB,9845.36,GBP
DIS,2305.85,USD
DIS,8650.26,GBP
GOOGL,2742.05,CAD
APPL,7155.66,EUR
GOOGL,1971.49,CAD
DIS,6005.88,EUR
TSLA,2748.13,GBP
GOOGL,8797.03,GBP
GOOGL,1586.39,EUR
F,3488.19,EUR
F,7376.52,CAD
FB,1180.82,EUR
DIS,4268.95,CAD
IBM,4968.79,CAD
GOOGL,2126.48,EUR
GOOGL,747.91,USD
IBM,6415.7,GBP
FB,8665.95,CAD
F,9673.93,GBP
IBM,795.16,USD
IBM,2352.66,GBP
FB,7562.64,CAD
DIS,5206.3,USD
F,8410.82,GBP
APPL,5293.67,GBP
DIS,3815.85,CAD
AMZN,3259.2,USD
F,9272.48,CAD
TSLA,4701.58,CAD
F,2020.32,USD
GOOGL,6744.89,GBP
APPL,4296.74,USD
DIS,7068.0,GBP
GOOGL,8831.1,GBP
DIS,1331.38,GBP
APPL,5814.36,GBP
FB,7956.73,GBP
FB,4173.82,USD
GOOGL,8394.46,GBP
FB,5482.67,USD
IBM,9647.37,GBP
TSLA,8950.18,CAD
IBM,7361.93,EUR
AMZN,4274.72,GBP
DIS,5129.92,USD
DIS,72.88,EUR
IBM,6061.03,USD
GOOGL,1059.91,EUR
APPL,2392.26,EUR
TSLA,7374.64,GBP
F,6600.53,USD
GOOGL,7753.94,GBP
DIS,2727.06,EUR
GOOGL,5200.9,USD
TSLA,9009.67,EUR
F,3949.62,GBP
FB,8872.35,EUR
TSLA,9607.32,CAD
APPL,6063.94,EUR
DIS,3864.01,CAD
APPL,5437.72,USD
IBM,2447.86,GBP
DIS,1369.91,EUR
TSLA,6573.46,USD
DIS,6126.29,CAD
FB,8013.63,CAD
TSLA,9542.33,CAD
AMZN,3300.97,CAD
TSLA,403.18,CAD
APPL,6653.82,CAD
AMZN,751.68,CAD
APPL,7766.89,CAD
F,6915.16,GBP
AMZN,3659.93,GBP
IBM,3009.52,EUR
AMZN,46.67,GBP
APPL,2567.73,GBP
IBM,3026.45,CAD
APPL,1214.19,USD
AMZN,3816.55,CAD
IBM,6722.68,USD
GOOGL,1863.93,USD
TSLA,6712.25,CAD
TSLA,5188.06,GBP
AMZN,8990.79,CAD
F,9050.58,GBP
F,5415.44,EUR
